Date,Store_ID,Product_ID,Units_Sold,Price,Discount
2023-01-05,8,1095,15,589.8,0.26
2023-01-05,3,1048,0,595.03,0.16
2023-01-05,19,1064,18,567.57,0.13
2023-01-05,7,1009,3,234.89,0.28
2023-01-05,18,1021,14,429.74,0.07
2023-01-05,4,1032,1,339.26,0.2
2023-01-05,27,1060,6,361.71,0.15
2023-01-05,19,1091,12,109.54,0.06
2023-01-05,25,1095,1,563.8,0.29
2023-01-05,28,1064,3,255.64,0.07
2023-01-05,10,1073,6,518.9,0.25
2023-01-05,19,1064,18,63.68,0.27
2023-01-05,25,1092,9,590.72,0.06
2023-01-05,17,1018,10,482.97,0.25
2023-01-06,6,1050,15,45.81,0.27
2023-01-06,30,1058,10,434.62,0.04
2023-01-06,1,1019,13,74.42,0.1
2023-01-06,17,1092,17,441.09,0.27
2023-01-06,27,1055,4,125.51,0.23
2023-01-06,28,1028,9,52.37,0.11
2023-01-06,22,1026,11,251.72,0.13
2023-01-06,18,1007,19,564.79,0.12
2023-01-06,16,1051,18,323.15,0.16
2023-01-06,12,1040,2,597.18,0.12
2023-01-06,24,1093,14,262.62,0.23
2023-01-06,14,1082,1,27.51,0.28
2023-01-06,11,1091,5,152.49,0.13
2023-01-06,30,1095,0,282.28,0.12
2023-01-06,11,1099,3,225.21,0.02
2023-01-06,29,1038,0,131.06,0.14
2023-01-06,17,1083,0,101.55,0.11
2023-01-06,3,1066,2,262.46,0.17
2023-01-06,21,1012,11,498.54,0.3
2023-01-06,21,1060,19,34.63,0.14
2023-01-07,22,1026,6,476.83,0.2
2023-01-07,24,1024,7,537.28,0.3
2023-01-07,9,1003,15,543.1,0.16
2023-01-07,16,1074,10,373.52,0.21
2023-01-07,29,1079,5,392.38,0.17
2023-01-07,34,1060,1,212.47,0.15
2023-01-07,14,1088,15,156.38,0.0
2023-01-07,9,1088,3,340.81,0.22
2023-01-07,23,1027,10,143.76,0.05
2023-01-07,4,1078,9,290.67,0.26
2023-01-07,34,1026,8,539.17,0.26
2023-01-07,14,1071,6,541.52,0.28
2023-01-07,22,1046,12,47.73,0.27
2023-01-07,2,1075,16,511.97,0.25
2023-01-07,18,1013,4,181.71,0.12
2023-01-07,24,1029,15,185.21,0.24
2023-01-07,1,1028,16,461.37,0.05
2023-01-07,34,1059,5,488.37,0.1
2023-01-07,15,1015,19,57.7,0.26
2023-01-07,11,1043,5,292.72,0.03
2023-01-08,15,1087,8,304.15,0.28
2023-01-08,30,1009,0,148.43,0.1
2023-01-08,18,1091,17,74.79,0.04
2023-01-08,21,1046,4,487.48,0.06
2023-01-08,14,1088,13,574.57,0.24
2023-01-08,4,1075,14,258.25,0.04
2023-01-08,34,1023,4,412.83,0.28
2023-01-08,7,1042,5,595.8,0.2
2023-01-08,24,1028,10,61.09,0.08
2023-01-08,1,1043,17,100.33,0.29
2023-01-08,1,1051,15,304.54,0.25
2023-01-08,33,1087,8,97.84,0.11
2023-01-08,6,1031,4,300.69,0.01
2023-01-08,12,1007,12,347.4,0.24
2023-01-08,3,1012,0,529.4,0.28
2023-01-08,17,1072,19,477.54,0.21
2023-01-08,35,1024,17,179.4,0.08
2023-01-08,33,1087,4,558.75,0.23
2023-01-08,10,1095,11,563.77,0.3
2023-01-08,15,1028,12,579.46,0.17
2023-01-09,14,1066,1,538.38,0.0
2023-01-09,15,1012,8,89.41,0.12
2023-01-09,8,1048,2,286.75,0.13
2023-01-09,16,1031,3,300.68,0.2
2023-01-09,32,1030,3,159.6,0.29
2023-01-09,28,1021,14,156.3,0.15
2023-01-09,35,1028,3,248.22,0.04
2023-01-09,17,1046,16,267.4,0.03
2023-01-09,27,1089,18,144.31,0.01
2023-01-09,12,1099,14,178.25,0.05
2023-01-09,19,1071,4,423.91,0.14
2023-01-09,7,1037,10,591.23,0.03
2023-01-09,33,1020,0,180.49,0.15
2023-01-09,27,1019,10,455.51,0.27
2023-01-09,10,1013,4,23.35,0.27
2023-01-09,13,1086,7,195.91,0.19
2023-01-09,1,1011,10,408.25,0.29
2023-01-09,6,1028,7,163.3,0.28
2023-01-09,17,1038,8,134.71,0.2
2023-01-09,26,1093,16,414.77,0.22
2023-01-10,34,1080,0,43.22,0.11
2023-01-10,18,1047,8,164.11,0.24
2023-01-10,5,1088,7,320.53,0.15
2023-01-10,19,1040,1,150.03,0.25
2023-01-10,35,1069,5,485.73,0.22
2023-01-10,21,1053,15,139.61,0.03
2023-01-10,34,1015,17,381.26,0.12
2023-01-10,31,1037,11,501.47,0.18
2023-01-10,23,1016,6,422.42,0.09
2023-01-10,34,1040,10,377.52,0.09
2023-01-10,18,1077,4,178.12,0.03
2023-01-10,13,1030,4,449.57,0.01
2023-01-10,7,1072,17,326.45,0.27
2023-01-10,31,1051,0,475.45,0.29
2023-01-10,33,1041,18,250.12,0.19
2023-01-10,23,1075,0,473.33,0.29
2023-01-10,12,1032,0,145.32,0.2
2023-01-10,6,1091,4,319.44,0.06
2023-01-10,22,1034,3,459.49,0.2
2023-01-10,22,1097,10,460.71,0.03
2023-01-11,24,1085,15,504.69,0.17
2023-01-11,23,1089,6,20.61,0.09
2023-01-11,14,1001,12,60.33,0.18
2023-01-11,15,1100,2,263.24,0.27
2023-01-11,26,1089,9,182.9,0.27
2023-01-11,3,1091,17,299.86,0.24
2023-01-11,14,1087,12,307.91,0.29
2023-01-11,21,1001,5,212.06,0.03
2023-01-11,23,1078,10,26.29,0.29
2023-01-11,30,1034,13,351.36,0.05
2023-01-11,19,1038,9,399.57,0.0
2023-01-11,3,1092,0,301.33,0.15
2023-01-11,19,1042,15,260.32,0.18
2023-01-11,5,1059,13,321.52,0.04
2023-01-11,25,1042,8,125.97,0.1
2023-01-11,20,1023,4,26.29,0.2
2023-01-11,33,1033,6,145.75,0.25
2023-01-11,15,1021,16,100.82,0.25
2023-01-11,19,1007,7,539.5,0.09
2023-01-11,11,1055,0,138.23,0.16
2023-01-12,2,1079,17,486.2,0.1
2023-01-12,9,1099,19,205.7,0.17
2023-01-12,1,1024,14,582.55,0.22
2023-01-12,29,1077,3,78.88,0.05
2023-01-12,5,1092,16,260.78,0.29
2023-01-12,11,1012,12,585.15,0.21
2023-01-12,28,1002,13,231.41,0.25
2023-01-12,12,1048,9,473.05,0.09
2023-01-12,5,1003,9,492.94,0.03
2023-01-12,28,1021,3,77.03,0.28
2023-01-12,22,1083,12,220.64,0.02
2023-01-12,2,1033,10,88.65,0.14
2023-01-12,23,1036,7,165.79,0.14
2023-01-12,15,1037,12,178.79,0.01
2023-01-12,17,1078,13,160.31,0.23
2023-01-12,30,1086,15,103.62,0.08
2023-01-12,24,1100,2,219.41,0.21
2023-01-12,26,1091,8,314.12,0.19
2023-01-12,19,1043,14,97.33,0.05
2023-01-12,31,1083,18,254.56,0.05
2023-01-13,4,1010,8,530.14,0.18
2023-01-13,19,1063,19,69.16,0.21
2023-01-13,17,1018,16,209.56,0.28
2023-01-13,10,1037,15,92.28,0.04
2023-01-13,12,1036,5,492.59,0.28
2023-01-13,15,1016,12,319.61,0.25
2023-01-13,7,1057,19,367.31,0.29
2023-01-13,30,1010,6,268.53,0.14
2023-01-13,20,1049,6,50.77,0.15
2023-01-13,35,1043,2,392.24,0.18
2023-01-13,33,1045,12,144.99,0.04
2023-01-13,12,1022,13,390.99,0.14
2023-01-13,13,1057,17,575.86,0.08
2023-01-13,19,1046,14,84.67,0.02
2023-01-13,19,1020,10,300.78,0.21
2023-01-13,35,1078,6,330.57,0.16
2023-01-13,22,1027,8,362.57,0.09
2023-01-13,9,1083,9,564.36,0.08
2023-01-13,7,1004,14,569.35,0.26
2023-01-13,9,1035,7,72.08,0.01
2023-01-14,19,1062,6,315.23,0.13
2023-01-14,35,1058,11,493.02,0.27
2023-01-14,6,1010,1,501.64,0.03
2023-01-14,23,1011,3,435.51,0.07
2023-01-14,7,1091,12,540.49,0.09
2023-01-14,22,1013,11,224.52,0.06
2023-01-14,14,1064,10,481.79,0.17
2023-01-14,4,1039,0,96.59,0.17
2023-01-14,34,1088,14,518.01,0.23
2023-01-14,35,1023,14,142.09,0.02
2023-01-14,14,1096,18,146.68,0.16
2023-01-14,3,1049,17,427.33,0.05
2023-01-14,22,1018,15,268.88,0.15
2023-01-14,16,1072,10,123.36,0.06
2023-01-14,33,1031,11,494.03,0.17
2023-01-14,18,1094,7,26.52,0.21
2023-01-14,19,1100,19,528.6,0.02
2023-01-14,34,1029,3,507.1,0.26
2023-01-14,17,1048,12,232.38,0.09
2023-01-14,31,1091,17,92.39,0.03
2023-01-15,1,1079,2,577.52,0.17
2023-01-15,33,1008,14,204.88,0.05
2023-01-15,19,1056,0,411.14,0.18
2023-01-15,34,1036,14,509.49,0.21
2023-01-15,18,1071,14,173.94,0.11
2023-01-15,1,1035,4,355.45,0.13
2023-01-15,19,1063,8,477.21,0.2
2023-01-15,32,1099,4,428.32,0.23
2023-01-15,30,1058,12,508.67,0.2
2023-01-15,20,1037,8,124.03,0.2
2023-01-15,7,1005,14,214.09,0.18
2023-01-15,7,1011,8,392.37,0.11
2023-01-15,22,1040,18,488.16,0.17
2023-01-15,7,1020,12,323.11,0.28
2023-01-15,13,1052,15,156.89,0.19
2023-01-15,17,1065,16,362.21,0.06
2023-01-15,11,1043,17,86.4,0.02
2023-01-15,16,1063,11,79.38,0.18
2023-01-15,21,1080,18,333.71,0.02
2023-01-15,22,1010,6,571.39,0.16
2023-01-16,13,1046,11,428.54,0.01
2023-01-16,12,1088,12,302.92,0.1
2023-01-16,12,1039,18,382.65,0.01
2023-01-16,19,1031,10,398.31,0.1
2023-01-16,13,1100,9,218.99,0.12
2023-01-16,16,1090,7,596.64,0.05
2023-01-16,15,1032,16,114.14,0.14
2023-01-16,23,1047,11,232.37,0.06
2023-01-16,9,1020,13,40.03,0.3
2023-01-16,8,1098,8,157.36,0.01
2023-01-16,27,1016,4,197.5,0.27
2023-01-16,22,1078,18,596.12,0.03
2023-01-16,6,1060,2,321.58,0.27
2023-01-16,15,1037,14,259.92,0.26
2023-01-16,17,1098,17,43.2,0.2
2023-01-16,33,1025,13,155.07,0.06
2023-01-16,34,1019,8,201.44,0.2
2023-01-16,19,1030,3,217.41,0.14
2023-01-16,7,1018,0,321.61,0.01
2023-01-16,8,1065,6,226.53,0.28
2023-01-17,11,1049,10,120.47,0.02
2023-01-17,2,1068,17,144.18,0.05
2023-01-17,5,1085,4,195.89,0.11
2023-01-17,13,1061,2,226.07,0.25
2023-01-17,11,1085,19,272.61,0.04
2023-01-17,14,1063,0,388.29,0.18
2023-01-17,9,1077,4,210.89,0.28
2023-01-17,7,1014,15,510.25,0.1
2023-01-17,6,1008,2,195.03,0.04
2023-01-17,9,1063,11,165.35,0.12
2023-01-17,23,1006,9,458.81,0.18
2023-01-17,30,1056,1,218.44,0.2
2023-01-17,25,1006,0,122.55,0.28
2023-01-17,4,1029,5,214.84,0.13
2023-01-17,8,1063,0,97.31,0.07
2023-01-17,13,1086,13,285.58,0.13
2023-01-17,22,1100,16,41.68,0.13
2023-01-17,29,1006,17,510.87,0.18
2023-01-17,10,1092,10,298.57,0.25
2023-01-17,21,1065,7,106.22,0.08
2023-01-18,16,1073,16,464.24,0.26
2023-01-18,23,1070,6,429.59,0.12
2023-01-18,11,1098,11,423.22,0.16
2023-01-18,27,1012,12,469.92,0.15
2023-01-18,29,1035,12,534.91,0.14
2023-01-18,33,1072,8,176.85,0.2
2023-01-18,32,1038,14,126.59,0.21
2023-01-18,12,1013,6,520.26,0.09
2023-01-18,28,1014,16,326.36,0.23
2023-01-18,34,1051,15,531.11,0.29
2023-01-18,21,1037,6,374.72,0.25
2023-01-18,31,1005,15,332.31,0.11
2023-01-18,14,1016,10,415.46,0.07
2023-01-18,26,1009,0,592.18,0.08
2023-01-18,6,1074,15,100.35,0.17
2023-01-18,6,1083,1,306.65,0.26
2023-01-18,4,1065,14,114.89,0.01
2023-01-18,2,1052,3,83.35,0.12
2023-01-18,11,1001,10,79.49,0.24
2023-01-18,7,1023,10,43.45,0.2
2023-01-19,2,1039,18,107.31,0.12
2023-01-19,12,1067,14,380.51,0.08
2023-01-19,7,1007,17,554.28,0.05
2023-01-19,12,1074,13,231.22,0.11
2023-01-19,1,1065,19,290.92,0.08
2023-01-19,3,1070,10,45.77,0.17
2023-01-19,29,1074,1,593.03,0.13
2023-01-19,17,1032,10,126.15,0.1
2023-01-19,29,1048,15,222.42,0.08
2023-01-19,8,1029,19,354.2,0.16
2023-01-19,34,1067,17,582.06,0.04
2023-01-19,29,1009,1,103.36,0.09
2023-01-19,5,1008,17,75.17,0.13
2023-01-19,16,1021,9,265.05,0.03
2023-01-19,8,1055,18,76.77,0.3
2023-01-19,9,1030,16,525.48,0.09
2023-01-19,4,1070,15,460.47,0.15
2023-01-19,13,1047,16,532.25,0.01
2023-01-19,22,1083,6,311.92,0.17
2023-01-19,31,1066,13,146.37,0.16
2023-01-20,9,1074,6,412.59,0.29
2023-01-20,28,1002,16,295.62,0.26
2023-01-20,18,1003,18,381.0,0.12
2023-01-20,8,1035,1,468.29,0.22
2023-01-20,10,1081,10,556.76,0.14
2023-01-20,13,1060,19,409.2,0.06
2023-01-20,4,1021,10,584.96,0.12
2023-01-20,23,1031,4,488.43,0.28
2023-01-20,28,1018,12,37.17,0.19
2023-01-20,32,1045,15,410.33,0.03
2023-01-20,11,1083,1,597.71,0.12
2023-01-20,28,1040,15,455.62,0.07
2023-01-20,4,1092,11,195.15,0.08
2023-01-20,20,1026,8,485.2,0.14
2023-01-20,2,1053,6,265.21,0.21
2023-01-20,30,1030,10,559.46,0.22
2023-01-20,2,1003,14,225.08,0.07
2023-01-20,5,1098,0,475.17,0.11
2023-01-20,3,1059,14,54.31,0.21
2023-01-20,21,1041,7,288.97,0.26
2023-01-21,17,1078,6,358.94,0.25
2023-01-21,35,1040,12,87.09,0.21
2023-01-21,18,1099,11,555.3,0.22
2023-01-21,30,1019,7,323.02,0.08
2023-01-21,28,1039,0,131.61,0.25
2023-01-21,20,1074,11,35.0,0.25
2023-01-21,25,1004,3,287.98,0.13
2023-01-21,15,1090,6,59.08,0.28
2023-01-21,32,1009,13,288.72,0.03
2023-01-21,33,1096,18,125.08,0.1
2023-01-21,2,1018,12,19.52,0.13
2023-01-21,29,1086,3,126.2,0.2
2023-01-21,34,1034,15,333.93,0.08
2023-01-21,20,1090,14,185.18,0.28
2023-01-21,23,1034,19,84.22,0.23
2023-01-21,20,1061,12,409.18,0.18
2023-01-21,7,1008,13,349.53,0.01
2023-01-21,10,1086,15,328.33,0.17
2023-01-21,14,1078,1,557.05,0.2
2023-01-21,18,1054,3,505.75,0.11
2023-01-22,28,1004,18,145.1,0.29
2023-01-22,16,1020,0,43.78,0.13
2023-01-22,13,1036,3,473.59,0.1
2023-01-22,21,1006,14,535.09,0.25
2023-01-22,12,1078,17,309.37,0.23
2023-01-22,15,1083,7,240.14,0.23
2023-01-22,23,1067,4,407.83,0.25
2023-01-22,20,1065,6,303.4,0.06
2023-01-22,26,1028,1,388.22,0.26
2023-01-22,13,1038,14,209.42,0.14
2023-01-22,30,1075,3,460.07,0.14
2023-01-22,32,1075,4,534.84,0.17
2023-01-22,25,1001,2,354.29,0.07
2023-01-22,1,1038,5,119.01,0.02
2023-01-22,34,1024,12,130.81,0.28
2023-01-22,23,1078,2,165.13,0.2
2023-01-22,1,1069,16,54.52,0.05
2023-01-22,6,1015,3,33.8,0.21
2023-01-22,11,1023,0,417.71,0.08
2023-01-22,29,1031,0,555.92,0.03
2023-01-23,1,1042,3,300.19,0.11
2023-01-23,9,1069,10,39.14,0.28
2023-01-23,33,1008,16,291.03,0.26
2023-01-23,19,1002,10,420.71,0.0
2023-01-23,3,1086,2,355.82,0.04
2023-01-23,1,1007,19,463.09,0.14
2023-01-23,21,1051,13,449.54,0.05
2023-01-23,4,1016,2,521.4,0.05
2023-01-23,1,1007,4,155.25,0.03
2023-01-23,32,1045,0,376.38,0.04
2023-01-23,33,1071,3,309.3,0.02
2023-01-23,16,1055,9,320.95,0.01
2023-01-23,24,1018,15,113.89,0.26
2023-01-23,25,1008,19,84.71,0.07
2023-01-23,18,1068,15,88.62,0.13
2023-01-23,18,1056,2,59.66,0.2
2023-01-23,21,1061,14,562.49,0.29
2023-01-23,5,1064,6,30.62,0.14
2023-01-23,35,1026,12,147.05,0.16
2023-01-23,28,1087,3,341.51,0.13
2023-01-24,34,1081,2,289.33,0.08
2023-01-24,29,1060,4,538.22,0.02
2023-01-24,21,1077,9,35.87,0.15
2023-01-24,31,1052,1,571.28,0.06
2023-01-24,33,1072,0,591.15,0.27
2023-01-24,8,1071,12,402.39,0.12
2023-01-24,11,1014,10,477.14,0.03
2023-01-24,17,1078,15,423.87,0.3
2023-01-24,5,1012,5,49.89,0.11
2023-01-24,6,1041,14,393.64,0.11
2023-01-24,12,1041,14,266.68,0.12
2023-01-24,29,1053,12,273.29,0.16
2023-01-24,13,1080,1,88.54,0.14
2023-01-24,19,1077,18,129.65,0.17
2023-01-24,31,1036,3,453.33,0.09
2023-01-24,7,1058,15,173.66,0.23
2023-01-24,23,1036,12,179.47,0.16
2023-01-24,17,1066,15,262.86,0.15
2023-01-24,1,1063,2,587.8,0.02
2023-01-24,30,1011,14,160.4,0.11
2023-01-25,30,1088,12,133.3,0.16
2023-01-25,4,1050,6,253.41,0.07
2023-01-25,13,1073,18,93.39,0.03
2023-01-25,29,1011,19,516.81,0.02
2023-01-25,14,1064,15,518.51,0.03
2023-01-25,10,1026,19,521.52,0.28
2023-01-25,15,1009,6,286.94,0.29
2023-01-25,20,1078,15,500.5,0.27
2023-01-25,35,1043,19,286.28,0.03
2023-01-25,35,1042,12,352.93,0.13
2023-01-25,5,1053,12,258.32,0.24
2023-01-25,33,1079,14,106.18,0.06
2023-01-25,26,1081,10,173.85,0.01
2023-01-25,23,1077,0,372.21,0.29
2023-01-25,34,1091,14,120.75,0.24
2023-01-25,3,1100,14,306.9,0.2
2023-01-25,5,1010,15,387.44,0.09
2023-01-25,30,1014,10,151.8,0.02
2023-01-25,20,1099,14,551.26,0.07
2023-01-25,24,1070,16,253.14,0.2
2023-01-26,9,1010,1,511.1,0.28
2023-01-26,11,1033,13,449.12,0.21
2023-01-26,23,1073,0,394.21,0.12
2023-01-26,1,1051,9,205.61,0.24
2023-01-26,29,1052,13,578.46,0.1
2023-01-26,27,1025,15,295.12,0.07
2023-01-26,1,1069,8,108.81,0.16
2023-01-26,34,1058,15,211.08,0.1
2023-01-26,33,1016,2,109.93,0.0
2023-01-26,17,1004,16,447.17,0.01
2023-01-26,14,1024,10,357.87,0.23
2023-01-26,10,1036,18,147.81,0.17
2023-01-26,7,1012,8,177.04,0.1
2023-01-26,25,1081,0,549.02,0.14
2023-01-26,2,1009,2,24.56,0.13
2023-01-26,29,1055,7,212.19,0.01
2023-01-26,4,1059,9,436.1,0.25
2023-01-26,7,1072,9,148.2,0.19
2023-01-26,1,1042,5,406.75,0.04
2023-01-26,24,1096,5,326.2,0.06
2023-01-27,23,1074,13,326.89,0.14
2023-01-27,1,1072,2,21.21,0.26
2023-01-27,6,1069,13,472.67,0.04
2023-01-27,35,1082,7,412.42,0.15
2023-01-27,15,1016,0,507.59,0.22
2023-01-27,3,1036,3,420.62,0.21
2023-01-27,32,1080,8,565.97,0.2
2023-01-27,27,1076,7,233.51,0.19
2023-01-27,17,1056,7,488.02,0.28
2023-01-27,13,1027,9,484.3,0.16
2023-01-27,22,1027,2,104.44,0.25
2023-01-27,10,1033,6,515.31,0.05
2023-01-27,27,1007,0,44.19,0.17
2023-01-27,30,1008,18,218.33,0.01
2023-01-27,6,1042,17,219.68,0.24
2023-01-27,30,1077,6,562.0,0.17
2023-01-27,12,1044,3,520.72,0.09
2023-01-27,17,1049,2,529.97,0.02
2023-01-27,21,1072,16,228.76,0.16
2023-01-27,16,1057,13,519.45,0.05
2023-01-28,20,1048,8,205.57,0.29
2023-01-28,3,1074,19,224.96,0.17
2023-01-28,10,1040,16,350.13,0.05
2023-01-28,18,1073,7,27.76,0.2
2023-01-28,4,1020,7,493.22,0.11
2023-01-28,23,1057,14,454.1,0.29
2023-01-28,31,1065,16,547.31,0.24
2023-01-28,10,1038,11,55.66,0.15
2023-01-28,34,1051,19,215.8,0.12
2023-01-28,13,1041,11,369.53,0.06
2023-01-28,2,1008,9,121.07,0.1
2023-01-28,8,1003,8,427.78,0.11
2023-01-28,8,1095,12,48.97,0.26
2023-01-28,17,1057,18,359.77,0.27
2023-01-28,29,1018,11,236.8,0.14
2023-01-28,9,1056,14,438.81,0.14
2023-01-28,28,1008,9,233.98,0.14
2023-01-28,9,1060,7,227.9,0.25
2023-01-28,35,1017,3,148.98,0.12
2023-01-28,15,1019,5,66.18,0.2
2023-01-29,9,1020,4,135.18,0.06
2023-01-29,5,1064,6,327.87,0.18
2023-01-29,20,1028,2,232.25,0.28
2023-01-29,22,1063,1,156.82,0.05
2023-01-29,13,1097,18,564.2,0.13
2023-01-29,12,1043,16,539.6,0.28
2023-01-29,13,1005,5,304.44,0.06
2023-01-29,28,1046,9,316.26,0.1
2023-01-29,27,1078,5,526.24,0.17
2023-01-29,3,1099,12,112.68,0.17
2023-01-29,8,1083,8,44.02,0.15
2023-01-29,18,1042,8,247.98,0.06
2023-01-29,25,1077,3,309.73,0.14
2023-01-29,17,1010,11,399.22,0.18
2023-01-29,2,1019,15,89.31,0.09
2023-01-29,2,1027,1,285.47,0.24
2023-01-29,19,1080,12,40.88,0.16
2023-01-29,8,1056,17,416.24,0.2
2023-01-29,21,1055,17,348.71,0.3
2023-01-29,18,1049,11,334.59,0.21
2023-01-30,10,1074,18,325.87,0.08
2023-01-30,10,1050,2,442.68,0.14
2023-01-30,20,1013,10,212.08,0.19
2023-01-30,4,1057,4,299.85,0.06
2023-01-30,31,1092,3,385.56,0.05
2023-01-30,1,1023,15,402.97,0.06
2023-01-30,25,1082,5,129.19,0.04
2023-01-30,35,1065,4,464.72,0.25
2023-01-30,18,1073,4,582.67,0.24
2023-01-30,1,1094,12,185.8,0.18
2023-01-30,18,1025,15,526.05,0.16
2023-01-30,16,1066,16,377.07,0.02
2023-01-30,9,1054,16,323.29,0.11
2023-01-30,11,1008,13,550.17,0.1
2023-01-30,16,1083,10,459.43,0.23
2023-01-30,13,1059,2,83.98,0.07
2023-01-30,35,1038,16,414.1,0.16
2023-01-30,6,1011,15,319.42,0.26
2023-01-30,27,1054,8,308.21,0.21
2023-01-30,33,1058,15,138.47,0.13
2023-01-31,1,1006,18,78.88,0.14
2023-01-31,8,1069,19,566.75,0.03
2023-01-31,4,1088,7,35.09,0.2
2023-01-31,20,1080,9,446.86,0.12
2023-01-31,30,1025,13,554.44,0.02
2023-01-31,20,1081,2,245.05,0.07
2023-01-31,26,1010,1,225.12,0.12
2023-01-31,10,1057,17,227.43,0.08
2023-01-31,31,1002,12,218.98,0.05
2023-01-31,30,1100,14,405.05,0.14
2023-01-31,29,1027,8,50.46,0.03
2023-01-31,24,1049,15,498.12,0.09
2023-01-31,3,1019,13,104.59,0.3
2023-01-31,11,1051,15,421.27,0.1
2023-01-31,24,1017,15,423.82,0.27
2023-01-31,14,1011,11,375.24,0.17
2023-01-31,20,1054,14,42.97,0.22
2023-01-31,30,1024,8,74.71,0.07
2023-01-31,7,1022,13,598.11,0.03
2023-01-31,34,1010,6,244.31,0.19
2023-02-01,28,1009,6,476.62,0.1
2023-02-01,35,1081,7,335.86,0.09
2023-02-01,32,1093,2,374.57,0.26
2023-02-01,20,1029,16,176.7,0.17
2023-02-01,34,1031,11,576.86,0.05
2023-02-01,22,1091,11,443.45,0.1
2023-02-01,16,1068,11,233.09,0.2
2023-02-01,18,1054,15,548.19,0.08
2023-02-01,14,1025,1,395.34,0.26
2023-02-01,23,1005,11,174.89,0.09
2023-02-01,5,1039,5,57.68,0.22
2023-02-01,10,1065,7,417.91,0.27
2023-02-01,31,1091,16,304.85,0.28
